sample	sample_new	sample_new_old	group	disease	nCoV_mean	nFeature_RNA_low	nFeature_RNA_high	nCount_RNA_threshold	percent.mito
C51	HC1	HC1	HC	N	0	200	6000	1000	10
C52	HC2	HC2	HC	N	0	200	6000	1000	10
C100	HC3	HC3	HC	N	0	200	6000	1000	10
GSM3660650	HC4	HC4	HC	N	0	200	6000	1000	10
C141	M1	O1	M	Y	0	200	6000	1000	10
C142	M2	O2	M	Y	0	200	6000	1000	10
C144	M3	O3	M	Y	0	200	6000	1000	10
C145	S1	S1	S	Y	0.085901131	200	6000	1000	10
C143	S2	C1	S	Y	0.007000048	200	6000	1000	10
C146	S3	C2	S	Y	0.749939188	200	6000	1000	10
C148	S4	C3	S	Y	0.00255102	200	6000	1000	10
C149	S5	C4	S	Y	0.408822508	200	6000	1000	10
C152	S6	C5	S	Y	0.096482152	200	6000	1000	10
